"wbid","period","year","masterCode","lmean","geo_mean"
"3226H1","2009-2016",2011,"CHLAC",1.23463092652302,3.43710974054026
"3226H1","2009-2016",2011,"NO3O2",-3.94685886482623,0.019315278486405
"3226H1","2009-2016",2011,"TKN",-2.02512144801171,0.131977813771407
"3226H1","2009-2016",2011,"TN",-1.73451474083388,0.176485820872841
"3226H1","2009-2016",2011,"TP",-5.72690282335117,0.00325714959528556
"3226H1","2009-2016",2012,"CHLAC",0.797761542619381,2.22056472156663
"3226H1","2009-2016",2012,"NO3O2",-2.48004441867314,0.0837395059118431
"3226H1","2009-2016",2012,"TKN",-1.66119015314989,0.189912820204588
"3226H1","2009-2016",2012,"TN",-1.2022396883604,0.300520385603705
"3226H1","2009-2016",2012,"TP",-6.53675125641634,0.00144918890283264
"3226H1","2009-2016",2013,"CHLAC",1.19750994896066,3.31185994655477
"3226H1","2009-2016",2013,"NO3O2",-3.20640853975589,0.0405018130276867
"3226H1","2009-2016",2013,"TKN",-1.61723532996835,0.198446580693235
"3226H1","2009-2016",2013,"TN",-1.31935071043069,0.267308806452244
"3226H1","2009-2016",2013,"TP",-6.23220417703901,0.00196511565666559
"3226H1","2009-2016",2014,"CHLAC",1.48765900364272,4.42672044330217
"3226H1","2009-2016",2014,"NO3O2",-4.01688331935133,0.018009005883415
"3226H1","2009-2016",2014,"TKN",-1.9102219587343,0.14804752250765
"3226H1","2009-2016",2014,"TN",-1.73329370013897,0.176701448860685
"3226H1","2009-2016",2014,"TP",-5.96217393112016,0.00257430951299037
"3226H1","2009-2016",2015,"CHLAC",0.799946107952771,2.22542099276746
"3226H1","2009-2016",2015,"NO3O2",-4.30589760001108,0.0134887725838991
"3226H1","2009-2016",2015,"TKN",-1.54729208300023,0.212823502613642
"3226H1","2009-2016",2015,"TN",-1.43144666588378,0.238962972487451
"3226H1","2009-2016",2015,"TP",-6.12474754653647,0.00218804342760539
"3226H1","2017-2023",2016,"CHLAC",1.05521338743356,2.87258806269986
"3226H1","2017-2023",2016,"NO3O2",-2.78416357622225,0.0617807423078064
"3226H1","2017-2023",2016,"TKN",-0.754697099263799,0.470153002855407
"3226H1","2017-2023",2016,"TN",-0.611903446520415,0.542317613438784
"3226H1","2017-2023",2016,"TP",-6.34849035730691,0.0017493860917508
"3226H1","2017-2023",2017,"CHLAC",1.20929102762792,3.35110796718186
"3226H1","2017-2023",2017,"NO3O2",-2.64983473167354,0.0706628904330978
"3226H1","2017-2023",2017,"TKN",-0.903671629139236,0.405079623834306
"3226H1","2017-2023",2017,"TN",-0.650156126303489,0.521964278045851
"3226H1","2017-2023",2017,"TP",-5.20312285520764,0.00549936386023974
"3226H1","2017-2023",2018,"CHLAC",1.32956473201424,3.77939797855232
"3226H1","2017-2023",2018,"NO3O2",-4.00323384953256,0.0182565045358097
"3226H1","2017-2023",2018,"TKN",-1.85313182819181,0.156745496837401
"3226H1","2017-2023",2018,"TN",-1.70168257607455,0.18237640357519
"3226H1","2017-2023",2018,"TP",-5.10589026676911,0.00606094065851766
"3226H1","2017-2023",2019,"CHLAC",1.34239028837579,3.82818303937326
"3226H1","2017-2023",2019,"NO3O2",-3.84656069616344,0.0213530499189505
"3226H1","2017-2023",2019,"TKN",-1.6580300811052,0.190513907638235
"3226H1","2017-2023",2019,"TN",-1.48995574226175,0.225382630244164
"3226H1","2017-2023",2019,"TP",-4.96144515153717,0.00700280040874173
"3226H1","2017-2023",2020,"CHLAC",1.67049980992085,5.3148235349742
"3226H1","2017-2023",2020,"NO3O2",-2.13386661686562,0.118378682775778
"3226H1","2017-2023",2020,"TKN",-0.481282605320945,0.617990245690744
"3226H1","2017-2023",2020,"TN",-0.264513416165918,0.767579350826567
"3226H1","2017-2023",2020,"TP",-4.82385009072921,0.00803578898785918
"3226H1","2017-2023",2021,"CHLAC",1.30628848711278,3.69244369604231
"3226H1","2017-2023",2021,"NO3O2",-4.40057062119013,0.0122703361911846
"3226H1","2017-2023",2021,"TKN",-1.23018165586673,0.292239485841691
"3226H1","2017-2023",2021,"TN",-1.1547116471728,0.315148397734269
"3226H1","2017-2023",2021,"TP",-4.89882198212967,0.00745536044779311
"3226H1","2017-2023",2022,"CHLAC",1.26166584245927,3.53129917846032
"3226H1","2017-2023",2022,"NO3O2",-4.25068695820506,0.0142544383414345
"3226H1","2017-2023",2022,"TKN",-1.57237187018235,0.207552310936984
"3226H1","2017-2023",2022,"TN",-1.46711747808086,0.230589206573698
